# world_area_name_map.tsv - auto-generated by extract_worldareas_dat.py
# schema: 7 / 1780178352
# source: Data/Balance/WorldAreas.datc64 in Folders/data/B9/balance.datc64
# generated: 2026-06-08T12:47:09Z
# maps: internal WorldArea Id (e.g. "MapHiddenGrotto") -> in-game name (e.g. "Hidden Grotto")
# atlas maps are the rows whose Id starts with "Map".
# columns: internal_id	display_name
Abyss_Boss1	Lightless Void
G2_WorldMap	Act 2
G2_town	The Ardura Caravan
G3_1	Sandswept Marsh
G3_10	The Trial of Chaos
G3_10_Airlock	The Temple of Chaos
G3_11	Apex of Filth
G3_12	Temple of Kopec
G3_14	Utzaal
G3_15	Library of Kamasa
G3_16	Aggorat
G3_17	The Black Chambers
G3_2_1	Infested Barrens
G3_2_2	The Matlan Waterways
G3_3	Jungle Ruins
G3_4	The Venom Crypts
G3_5	Chimeral Wetlands
G3_6_1	Jiquani's Machinarium
G3_6_2	Jiquani's Sanctum
G3_7	The Azak Bog
G3_8	The Drowned City
G3_9	The Molten Vault
G3_WorldMap	Act 3
G3_town	Ziggurat Encampment
G4_10	The Excavation
G4_11_1a	Ngakanu
G4_11_1b	Ngakanu
G4_11_2	Heart of the Tribe
G4_12	[DNT-UNUSED] Precursor Forge
G4_13	Plunder's Point
G4_14	Brinerot Cove
G4_1_1	Isle of Kin
G4_1_2	Volcanic Warrens
G4_2_1	Kedge Bay
G4_2_2	Journey's End
G4_3_1	Whakapanu Island
G4_3_2	Singing Caverns
G4_4_1	Eye of Hinekora
G4_4_2	Halls of the Dead
G4_4_3	Trial of the Ancestors
G4_5_1	Abandoned Prison
G4_5_2	Solitary Confinement
G4_6	[DNT-UNUSED] Vahi Loa
G4_7	Shrike Island
G4_8a	Arastas
G4_8b	Arastas
G4_9_	Isle of Decay
G4_WorldMap	Act 4
G4_ship	[DNT] Ship
G4_town	Kingsmarch
G6_WorldMap	Interlude
G_Endgame_Town	The Ziggurat Refuge
G_login	Login Scene
GuildHideout__	Your Guild Hideout
HideoutArcaneIsle	Arcane Isle Hideout
HideoutArenaBlackStar_	Polaric Hideout
HideoutArenaEaterOfWorlds	Tangled Hideout
HideoutArenaElder	Void Hideout
HideoutArenaGraveyardTrio	Entombed Hideout
HideoutArenaIncursion	Red Queen's Chambers Hideout
HideoutArenaInfiniteHunger	Seething Hideout
HideoutArenaKulemak	Black Cathedral Hideout
HideoutArenaMaven	Crucible Hideout
HideoutArenaSearingExarch	Searing Hideout
HideoutAtziriArena	Corrupted Hideout
HideoutAzuriteCave	Azurite Cavern Hideout
HideoutBeaconOfSalvation	Beacon of Salvation Hideout
HideoutBlankAbyss	Infinite Abyss Hideout
HideoutBlankBlack	Black Void Hideout
HideoutBlankCity	Urban Sprawl Hideout
HideoutBlankClouds	Boundless Skies Hideout
HideoutBlankCrypt	Mausoleum Hideout
HideoutBlankDesert	Endless Sands Hideout
HideoutBlankDesert2	Vastiri Plains Hideout
HideoutBlankDirt	Eternal Wasteland Hideout
HideoutBlankGrass	Vast Plains Hideout
HideoutBlankJungle	Jungle Clearing Hideout
HideoutBlankMountain	Alpine Plateau Hideout
HideoutBlankSea	All at Sea Hideout
HideoutBlankSnow	Glacial Expanse Hideout
HideoutBlankUrban	Civic Square Hideout
HideoutBlankVolcanicCave	Volcanic Cave Hideout
HideoutCanal	Canal Hideout
HideoutCanopy	Canopy Hideout
HideoutCave	Submerged Hideout
HideoutChaos	Chaos Hideout
HideoutChiyouSpring	Chiyou Hideout
HideoutColossalTitan	Titan Apex Hideout
HideoutCosmicAtlas	Atlas Hideout
HideoutDaressoArena	Champion's Hideout
HideoutDark	Ghost-lit Graveyard Hideout
HideoutDarkwood	Darkwood Hideout
HideoutDominusArena	Indomitable Hideout
HideoutDoomguard	Doomguard Hideout
HideoutDreadnought	The Dreadnought Hideout
HideoutFarmlands	Farmlands Hideout
HideoutFelled	Felled Hideout
HideoutGrinding	Grinding Hideout
HideoutHasina	Tavern Hideout
HideoutHourglass	Hourglass Hideout
HideoutHumanoidPet	Humanoid Pet Hideout
HideoutInnocenceArena	Innocent Hideout
HideoutKaomArena	Furious Hideout
HideoutKitavaArenaAct10	Ravenous Hideout
HideoutLight	Timekeeper's Hideout
HideoutLimestone	Limestone Hideout
HideoutLunarisSolarisArena	Eclipsed Hideout
HideoutMonolith	Monolith Hideout
HideoutOlrothArena	Ancestral Hideout
HideoutPietyArena	Morbid Hideout
HideoutPillarsOfArun	Towering Hideout
HideoutPrison	Prison Hideout
HideoutRacetrack	Vastiri Racecourse Hideout
HideoutRitualLeague	Ritualist's Hideout
HideoutSacrifice	Sacrificial Apex Hideout
HideoutShaperArena	Shaped Hideout
HideoutShipgraveyard	Shipwreck Hideout
HideoutShipwreck	Kraken's Cove Hideout
HideoutShoreline	Shoreline Hideout
HideoutShrine	Shrine Hideout
HideoutSpace	Celestial Nebula Hideout
HideoutSummit	Plateau of the Gods Hideout
HideoutSunkenPalace	Sunken Palace Hideout
HideoutSunspire	Sunspire Hideout
HideoutSynthesisHub	Synthesis Hideout
HideoutTencentApocalypse	Cataclysmic Hideout
HideoutThaumaturgy	Thaumaturgical Hideout
HideoutTranscendent	Transcendent Hideout
HideoutTwisted	Twisted Hideout
HideoutVampireManor	Bloodreaver Manor Hideout
HideoutVerdant	Overgrown Apex Hideout
HideoutVeritaniaArena	Redeemer's Hideout
HideoutYaochi	Yaochi Hideout
IncursionHub	Vaal Ruins
IncursionHubEndgame	Vaal Ruins
IncursionTemple	Atziri's Temple
IncursionTemplePresent	Lost Temple
KaruiBossShowcase	Karui Boss Showcase
KaruiShowcase	Heart of the Tribe
MapAlpineRidge	Alpine Ridge
MapAridPlains	Arid Plains
MapArroyo	Arroyo
MapAugury	Augury
MapAzmerianRanges	Azmerian Ranges
MapBackwash	Backwash
MapBastille	Bastille
MapBazaar	Bazaar
MapBloodwood	Bloodwood
MapBloomingField	Blooming Field
MapBluff	Bluff
MapBurialBog	Burial Bog
MapCaldera	Caldera
MapCanyon	Canyon
MapCavernCity	Sacred Reservoir
MapCenotes	Cenotes
MapChannel	Channel
MapChasm	Chasm
MapCliffside	Cliffside
MapCreek	Creek
MapCrimsonShores	Crimson Shores
MapCrypt	Crypt
MapDecay	Decay
MapDeforestation	Deforestation
MapDerelictMansion	Derelict Mansion
MapDeserted	Deserted
MapEpitaph	Epitaph
MapExcavation	Digsite
MapFlotsam	Flotsam
MapForge	Forge
MapFortress	Fortress
MapFrozenFalls	Frozen Falls
MapGeode	Geode
MapGreenhouse	Greenhouse
MapGrimhaven	Grimhaven
MapHeadland	Headland
MapHiddenGrotto	Hidden Grotto
MapHideoutCanal_Claimable	Canal Hideout
MapHideoutFarmlands_Claimable	Farmlands Hideout
MapHideoutFelled_Claimable	Felled Hideout
MapHideoutLimestone_Claimable	Limestone Hideout
MapHideoutPrison_Claimable	Prison Hideout
MapHideoutShoreline_Claimable	Shoreline Hideout
MapHideoutShrine_Claimable	Shrine Hideout
MapHive	Hive
MapIceCave	Ice Cave
MapInferno	Inferno
MapKarst	Karst
MapLeaguePortal	The Realmgate
MapLoftySummit	Lofty Summit
MapLostTowers	Lost Towers
MapMarrow	Marrow
MapMesa	Mesa
MapMezzanine	Mezzanine
MapMineshaft	Mineshaft
MapMire	Mire
MapMonument	The Monument
MapMortuary	Mortuary
MapMothersoul_Female	The Matriarch Halls
MapMothersoul_Female_Quest	The Matriarch Halls
MapMothersoul_Male	The Patriarch Halls
MapMothersoul_Male_Quest	The Patriarch Halls
MapNecropolis	Necropolis
MapOasis	Oasis
MapOrbalasCrossing	Orbala's Crossing
MapOrnateChambers	Ornate Chambers
MapOutlands	Outlands
MapOvergrown	Overgrown
MapPenitentiary	Penitentiary
MapPit	Pit
MapPlantation	Plantation
MapPort	Port
MapPrecipice	Precipice
MapPrecursorTower	Precursor Tower
MapPrecursorTowerDesert	Precursor Tower
MapPrecursorTowerForest	Precursor Tower
MapPrecursorTowerGrass	Precursor Tower
MapPrecursorTowerMountain	Precursor Tower
MapPrecursorTowerSwamp	Precursor Tower
MapRavine	Ravine
MapRazedFields	Razed Fields
MapReservoir	Reservoir
MapRiverhold	Riverhold
MapRiverside	Riverside
MapRockpools	Rockpools
MapRugosa	Rugosa
MapRupture	Rupture
MapRustbowl	Rustbowl
MapSanctuary	Sanctuary
MapSandspit	Sandspit
MapSavanna	Savannah
MapSeepage	Seepage
MapSevenWaters	Confluence
MapSinkhole	Sinkhole
MapSinterRift	Sinter Rift
MapSlash	Slash
MapSlick	Slick
MapSnowfall	Snowfall
MapSpiderWoods	Spider Woods
MapSpring_	Spring
MapSteamingSprings	Steaming Springs
MapSteppe	Steppe
MapStronghold	Stronghold
MapSulphuricCaverns	Sulphuric Caverns
MapSump	Sump
MapSunTemple	Sun Temple
MapSwampTower	Sinking Spire
MapSwarm	Swarm
MapTerrace	Terrace
MapTrenches	Trenches
MapUberBoss_CopperCitadel	The Copper Citadel
MapUberBoss_CopperCitadel_Quest	The Copper Citadel
MapUberBoss_Delirium	The Withered Willow
MapUberBoss_Divinity	The Origin Tower
MapUberBoss_FallenStar	Ruins of Kingsmarch
MapUberBoss_IronCitadel	The Iron Citadel
MapUberBoss_IronCitadel_Quest	Western Enigma Chamber
MapUberBoss_JadeCitadel	The Jade Isles
MapUberBoss_Monolith	The Burning Monolith
MapUberBoss_Ritual	Caer Tarth
MapUberBoss_StoneCitadel	The Stone Citadel
MapUberBoss_StoneCitadel_Quest	Eastern Enigma Chamber
MapUniqueCastaway	Castaway
MapUniqueFreight_	Freight
MapUniqueInitialTower	Precursor Tower
MapUniqueLake	The Fractured Lake
MapUniqueMegalith	The Ezomyte Megaliths
MapUniqueMerchant01_Chimeral	Merchant's Campsite
MapUniqueMerchant01_Oasis	Jado's Campsite
MapUniqueMerchant01_Sandswept	Merchant's Campsite
MapUniqueMerchant02_Crimson	Merchant's Campsite
MapUniqueMerchant02_Farmland	Merchant's Campsite
MapUniqueMerchant03_Beach	Moment of Zen
MapUniqueMerchant03_Raft	Moment of Zen
MapUniqueMerchant03_Tropical	Moment of Zen
MapUniqueMerchant04_PirateShip	The Voyage
MapUniqueReactor_01	Western Gateway
MapUniqueReactor_02	Ancient Gateway
MapUniqueReactor_03	Eastern Gateway
MapUniqueReactor_04	Site of the Chosen
MapUniqueSelenite	The Silent Cave
MapUniqueUntaintedParadise	Untainted Paradise
MapUniqueVault	Vaults of Kamasa
MapUniqueWildwood	The Viridian Wildwood
MapVaalCity	Vaal City
MapVaalFactory	The Assembly
MapVaalFoundry	Molten Vault
MapVaalVault	Sealed Vault
MapVaalVillage	Vaal Village
MapVoidReliquary	The Reliquary Vault
MapWaywardIsle	Wayward Isle
MapWetlands	Wetlands
MapWillow	Willow
MapWoodland	Woodland
Map_HildaCampsite	Hilda's Campsite
NULL	NULL
P1_1	Scorched Farmlands
P1_2	Stones of Serle
P1_3	The Blackwood
P1_4	Holten
P1_5	Wolvenhold
P1_6	Holten Estate
P1_Town	The Refuge
P2_1	The Khari Crossing
P2_2	Pools of Khatal
P2_3	Sel Khari Sanctuary
P2_4	[DNT] River Barrens
P2_5	The Galai Gates
P2_6	Qimah
P2_7	Qimah Reservoir
P2_Town	The Khari Bazaar
P3_1	Ashen Forest
P3_2	Kriar Village
P3_3	Glacial Tarn
P3_4	Howling Caves
P3_5	Kriar Peaks
P3_6	Etched Ravine
P3_7	The Cuachic Vault
P3_Town	The Glade
PersonalHideout	Your Hideout
PrecursorVault	Precursor Vault
Programming	Programming World
Programming_Lite	Programming World (Lite)
RitualLeagueBoss	Crux of Nothingness
Sanctum_1	Trial of the Sekhemas
Sanctum_1_Foyer_1	Trial of the Sekhemas
Sanctum_1_Foyer_2	Trial of the Sekhemas
Sanctum_1_Foyer_3	Trial of the Sekhemas
Sanctum_2	Trial of the Sekhemas
Sanctum_2_Foyer_1	Trial of the Sekhemas
Sanctum_2_Foyer_2	Trial of the Sekhemas
Sanctum_2_Foyer_3	Trial of the Sekhemas
Sanctum_3	Trial of the Sekhemas
Sanctum_3_Foyer_1	Trial of the Sekhemas
Sanctum_3_Foyer_2	Trial of the Sekhemas
Sanctum_3_Foyer_3	Trial of the Sekhemas
Sanctum_4	Trial of the Sekhemas
Sanctum_4_Foyer_1	Trial of the Sekhemas
Sanctum_4_Foyer_2	Trial of the Sekhemas
Sanctum_4_Foyer_3	Trial of the Sekhemas
TN_WorldMap	Atlas
